ID;Бренд;Кол-во тяжек;Вкус;Фото;Объем жидкости;никотин;нагревательный элемент;батарея;разъем для зарядки;состав
1;SeaBear;11000;Strawberry Lullaby;src/database/photo/SeaBear/Strawberry Lullaby.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
2;SeaBear;11000;Sour Apple;src/database/photo/SeaBear/Sour Apple.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
3;SeaBear;11000;Blue Brazz;src/database/photo/NoImage.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
4;SeaBear;11000;Sunshine Kiwi;src/database/photo/SeaBear/Sunshine Kiwi.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
5;SeaBear;11000;Mango Trip;src/database/photo/SeaBear/Mango Trip.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
6;SeaBear;11000;Watermelon Chill;src/database/photo/SeaBear/Watermelon Chill.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
7;SeaBear;11000;Lemon Platter;src/database/photo/SeaBear/Lemon Platter.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
8;SeaBear;11000;Blackberry Guava Ice;src/database/photo/SeaBear/Blackberry Guava Ice.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
9;SeaBear;11000;Cranberry Juice;src/database/photo/SeaBear/Cranberry Juice.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
10;SeaBear;11000;Blue Raspberry;src/database/photo/SeaBear/Blue Raspberry.jpg;14;2%;два;600;Type-c;растительный глицерин, пропиленгликоль, никотин, натуральные и искусственные ароматизаторы. Соответсвует ГОСТ Р 5109-2018.
11;Air Stick;7000;Mango;src/database/photo/AirStick/Mango.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
12;Air Stick;7000;Mint ice;src/database/photo/AirStick/Mint ice.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
13;Air Stick;7000;Pina colade;src/database/photo/AirStick/Pina colade.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
14;Air Stick;7000;Mix berry;src/database/photo/AirStick/Mix berry.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
15;Air Stick;7000;Watermelon ice;src/database/photo/AirStick/Watermelon ice.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
16;Air Stick;7000;Blue razz lemon;src/database/photo/AirStick/Blue razz lemon.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
17;Air Stick;7000;Strawberry watermelon ice;src/database/photo/AirStick/Strawberry watermelon ice.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
18;Air Stick;7000;Grape ice;src/database/photo/AirStick/Grape ice.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
19;Air Stick;7000;Strawberry donat;src/database/photo/AirStick/Strawberry donat.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
20;Air Stick;7000;Vanilla-custer tobacco;src/database/photo/AirStick/Vanilla-custer tobacco.jpg;15;2%;два;650;Type-c;пропиленгликоль, растительный глицерин, ароматизаторы, никотин (CAS: 54-11-5) 2%. Соответсвует ГОСТ Р 57458-2017 и ГОСТ Р 5109-2018.
